Año,Mes,Producto,Export FOB (miles),Toneladas
2001,1,Abacá,150.171,233.617
2001,1,Animales Vivos No Para Alimentación,10.355,9.850999999999999
2001,1,Aparatos Eléctricos,27.696,0.99
2001,1,Arroz,0.081,0.045
2001,1,Artesanía Diversa,21.532999999999998,3.201
2001,1,Artículos De Cestería,1.491,0.201
2001,1,Artículos De Madera Y Corcho,179.074,525.941
2001,1,Bebidas,76.833,177.84199999999998
2001,1,Desperdicios De Metales**,16.418,221.433
2001,1,Elaborados De Banano,415.14099999999996,1064.23
2001,1,Enlatados De Pescado,2066.388,930.184
2001,1,Extractos Y Aceites Vegetales,0.105,0.03
2001,1,Flores Naturales,14858.984999999999,4640.25
2001,1,Harina De Pescado,34.377,98.22
2001,1,Harina Y Elaborados De Cereales,20.697000000000003,16.83
2001,1,Hojas De Té,51.984,39.52
2001,1,Jugos Y Conservas De Frutas,903.011,802.106
2001,1,Langostas,6.944,0.482
2001,1,Maderas Terciadas Y Prensadas,830.871,1615.252
2001,1,Manufacturas De Papel Y Cartón,57.638,50.797
2001,1,Maquinaria Industrial Y Partes,82.239,109.48400000000001
2001,1,Maíz,7.974,7.399
2001,1,Oro,78.063,8.524
2001,1,Otras Fibras Vegetales,0.012,0.027
2001,1,Otras Frutas,1179.671,3229.5080000000003
2001,1,Otras Maderas,1230.274,1238.659
2001,1,Otras Manufacturas De Fibras Textiles,401.24,71.68599999999999
2001,1,Otras Manufacturas De Metales,1232.444,492.368
2001,1,Otras Mercancías,1061.3210000000001,1349.671
2001,1,Otros Alimenticios,671.696,140.811
2001,1,Otros Desperdicios,12.63,4.15
2001,1,Otros Elaborados Del Mar,1053.018,120.144
2001,1,Otros Pecuarios,0.08,0.002
2001,1,Otros Piscícolas,5.895,5.243
2001,1,Otros Prod. Agrícolas,534.836,1198.684
2001,1,Otros Productos Mineros,10.867,19.747
2001,1,Otros Químicos y Farmaceúticos,281.414,13.19
2001,1,Piñas,111.929,433.879
2001,1,Prendas De Vestir,1141.748,194.92600000000002
2001,1,Productos Agrícolas En Conserva,342.34000000000003,558.068
2001,1,Sombreros De Paja Toquilla Y Mocora,86.509,2.9589999999999996
2001,1,Tabaco En Rama,286.589,29.762
2001,2,Abacá,94.103,147.367
2001,2,Animales Vivos No Para Alimentación,13.866,9.136999999999999
2001,2,Aparatos Eléctricos,47.354,2.2720000000000002
2001,2,Artesanía Diversa,19.074,1.9109999999999998
2001,2,Artículos De Cestería,9.276,0.651
2001,2,Artículos De Madera Y Corcho,185.108,267.09700000000004
2001,2,Bebidas,91.57300000000001,131.578
2001,2,Desperdicios De Metales**,8.137,125.56
2001,2,Elaborados De Banano,325.894,518.519
2001,2,Enlatados De Pescado,1784.562,1023.16
2001,2,Extractos Y Aceites Vegetales,0.826,0.848
2001,2,Flores Naturales,25763.752,6409.708
2001,2,Harina De Pescado,35.014,100.042
2001,2,Harina Y Elaborados De Cereales,56.26,38.154
2001,2,Hojas De Té,73.573,61.42
2001,2,Jugos Y Conservas De Frutas,749.932,669.866
2001,2,Maderas Terciadas Y Prensadas,724.159,1365.211
2001,2,Manufacturas De Papel Y Cartón,24.212000000000003,15.644
2001,2,Maquinaria Industrial Y Partes,161.9,18.544999999999998
2001,2,Maíz,6.976999999999999,6.191
2001,2,Melazas Y Panelas,0.947,1.17
2001,2,Oro,54.509,6.717
2001,2,Otras Frutas,122.75999999999999,357.554
2001,2,Otras Maderas,759.6460000000001,1047.3690000000001
2001,2,Otras Manufacturas De Fibras Textiles,122.029,22.54
2001,2,Otras Manufacturas De Metales,1382.451,470.668
2001,2,Otras Mercancías,1175.337,1618.964
2001,2,Otros Alimenticios,190.81599999999997,48.849000000000004
2001,2,Otros De Otros Desperdicios,33.126,117.86
2001,2,Otros Desperdicios,30.344,8.406
2001,2,Otros Elaborados Del Mar,754.281,93.454
2001,2,Otros Pecuarios,0.15,0.004
2001,2,Otros Piscícolas,8.744,7.932
2001,2,Otros Prod. Agrícolas,302.987,642.1949999999999
2001,2,Otros Productos Mineros,12.141,19.895999999999997
2001,2,Otros Químicos y Farmaceúticos,220.569,47.652
2001,2,Piñas,138.307,520.026
2001,2,Prendas De Vestir,982.399,146.876
2001,2,Productos Agrícolas En Conserva,220.967,308.24
2001,2,Sombreros De Paja Toquilla Y Mocora,87.708,3.1900000000000004
2001,2,Vehículos Y Sus Partes,2.0,0.7
2001,3,Animales Vivos No Para Alimentación,10.937,9.447
2001,3,Aparatos Eléctricos,62.010999999999996,1.591
2001,3,Arroz,0.082,0.041
2001,3,Artesanía Diversa,12.369,1.169
2001,3,Artículos De Cestería,3.335,0.454
2001,3,Artículos De Madera Y Corcho,200.54,63.679
2001,3,Artículos Electrodomésticos,0.1,0.019
2001,3,Bebidas,77.96199999999999,174.554
2001,3,Desperdicios De Metales**,10.192,180.923
2001,3,Elaborados De Banano,288.10699999999997,866.641
2001,3,Enlatados De Pescado,2796.402,1693.1239999999998
2001,3,Extractos Y Aceites Vegetales,0.697,0.379
2001,3,Flores Naturales,11841.369999999999,3595.5139999999997
2001,3,Harina Y Elaborados De Cereales,32.881,29.707
2001,3,Hojas De Té,62.1,60.0
2001,3,Jugos Y Conservas De Frutas,1088.542,1161.868
2001,3,Langostas,9.68,0.552
2001,3,Maderas Terciadas Y Prensadas,964.846,1815.571
2001,3,Manufacturas De Papel Y Cartón,43.637,34.043
2001,3,Maquinaria Industrial Y Partes,245.96999999999997,24.203
2001,3,Maíz,4.181,2.04
2001,3,Otras Fibras Vegetales,2.676,10.919
2001,3,Otras Frutas,69.179,191.728
2001,3,Otras Maderas,920.3779999999999,817.7629999999999
2001,3,Otras Manufacturas De Fibras Textiles,484.71,84.07800000000002
2001,3,Otras Manufacturas De Metales,1441.6460000000002,657.915
2001,3,Otras Mercancías,1576.365,1492.6419999999998
2001,3,Otros Alimenticios,271.96299999999997,80.757
2001,3,Otros De Otros Desperdicios,16.8,140.0
2001,3,Otros Desperdicios,10.302,2.976
2001,3,Otros Elaborados Del Mar,627.306,82.25999999999999
2001,3,Otros Pecuarios,0.346,0.021
2001,3,Otros Piscícolas,19.84,27.171
2001,3,Otros Prod. Agrícolas,474.957,728.0029999999999
2001,3,Otros Productos Mineros,21.279999999999998,39.873000000000005
2001,3,Otros Químicos y Farmaceúticos,216.888,12.951
2001,3,Piñas,266.833,988.28
2001,3,Prendas De Vestir,1289.571,368.0
2001,3,Productos Agrícolas En Conserva,329.903,415.726
2001,3,Sombreros De Paja Toquilla Y Mocora,127.629,3.953
2001,3,Tabaco En Rama,106.189,11.674
2001,3,Vehículos Y Sus Partes,156.249,11.308
2001,4,Abacá,237.703,382.234
2001,4,Animales Vivos No Para Alimentación,20.740000000000002,10.642
2001,4,Aparatos Eléctricos,80.15899999999999,4.915
2001,4,Artesanía Diversa,21.666,6.681
2001,4,Artículos De Cestería,0.102,0.117
2001,4,Artículos De Madera Y Corcho,243.809,53.006
2001,4,Artículos Electrodomésticos,0.3,0.05
2001,4,Bebidas,45.870000000000005,119.28800000000001
2001,4,Desperdicios De Metales**,7.5009999999999994,150.563
2001,4,Elaborados De Banano,439.362,1157.186
2001,4,Enlatados De Pescado,4152.763,2204.602
2001,4,Extractos Y Aceites Vegetales,0.031,0.027
2001,4,Flores Naturales,10998.639,3177.623
2001,4,Harina De Pescado,143.735,335.205
2001,4,Harina Y Elaborados De Cereales,14.563,13.535
2001,4,Hojas De Té,20.7,20.0
2001,4,Jugos Y Conservas De Frutas,952.965,961.55
2001,4,Maderas Terciadas Y Prensadas,870.0519999999999,1460.238
2001,4,Manufacturas De Papel Y Cartón,71.98500000000001,81.21199999999999
2001,4,Maquinaria Industrial Y Partes,254.583,20.980999999999998
2001,4,Maíz,0.077,0.134
2001,4,Oro,184.524,22.599
2001,4,Otras Frutas,122.52600000000001,220.22199999999998
2001,4,Otras Maderas,1521.734,1204.016
2001,4,Otras Manufacturas De Fibras Textiles,239.22299999999998,42.085
2001,4,Otras Manufacturas De Metales,1502.726,600.7620000000001
2001,4,Otras Mercancías,1561.5539999999999,1255.928
2001,4,Otros Alimenticios,168.065,76.113
2001,4,Otros De Otros Desperdicios,0.735,0.666
2001,4,Otros Desperdicios,0.21,0.057
2001,4,Otros Elaborados Del Mar,687.682,89.72
2001,4,Otros Pecuarios,0.197,0.079
2001,4,Otros Piscícolas,7.039000000000001,15.369000000000002
2001,4,Otros Prod. Agrícolas,357.435,530.521
2001,4,Otros Productos Mineros,7.065,2.5170000000000003
2001,4,Otros Químicos y Farmaceúticos,235.785,64.076
2001,4,Piñas,175.373,674.942
2001,4,Prendas De Vestir,1321.112,222.127
2001,4,Productos Agrícolas En Conserva,816.1909999999999,938.1819999999999
2001,4,Sombreros De Paja Toquilla Y Mocora,132.513,4.809
2001,4,Tabaco En Rama,0.098,0.197
2001,5,Animales Vivos No Para Alimentación,16.165,12.776
2001,5,Aparatos Eléctricos,42.464999999999996,1.157
2001,5,Artesanía Diversa,5.112,1.442
2001,5,Artículos De Cestería,1.446,0.163
2001,5,Artículos De Madera Y Corcho,309.067,767.245
2001,5,Bebidas,72.817,147.134
2001,5,Desperdicios De Metales**,3.189,120.737
2001,5,Elaborados De Banano,388.395,1012.807
2001,5,Enlatados De Pescado,4257.9130000000005,1873.973
2001,5,Extractos Y Aceites Vegetales,0.161,0.108
2001,5,Flores Naturales,18250.586,7369.553
2001,5,Harina De Pescado,486.177,1262.886
2001,5,Harina Y Elaborados De Cereales,26.588,34.059999999999995
2001,5,Hojas De Té,71.768,60.58
2001,5,Jugos Y Conservas De Frutas,947.7760000000001,889.453
2001,5,Maderas Terciadas Y Prensadas,777.325,1476.478
2001,5,Manufacturas De Papel Y Cartón,48.859,27.628
2001,5,Maquinaria Industrial Y Partes,125.684,75.239
2001,5,Maíz,0.096,0.096
2001,5,Medicinas,26.975,6.2989999999999995
2001,5,Oro,219.469,26.668
2001,5,Otras Fibras Vegetales,0.393,0.181
2001,5,Otras Frutas,94.78800000000001,117.634
2001,5,Otras Maderas,1220.761,917.5459999999999
2001,5,Otras Manufacturas De Fibras Textiles,362.314,73.809
2001,5,Otras Manufacturas De Metales,1348.771,584.073
2001,5,Otras Mercancías,1466.502,1357.5230000000001
2001,5,Otros Alimenticios,317.711,85.637
2001,5,Otros De Otros Desperdicios,0.139,0.31
2001,5,Otros Elaborados Del Mar,730.2470000000001,71.776
2001,5,Otros Pecuarios,0.05,0.001
2001,5,Otros Piscícolas,5.379,3.668
2001,5,Otros Prod. Agrícolas,405.344,674.3969999999999
2001,5,Otros Productos Mineros,19.913,39.278000000000006
2001,5,Otros Químicos y Farmaceúticos,207.523,10.198
2001,5,Piñas,159.756,578.864
2001,5,Prendas De Vestir,772.1370000000001,187.824
2001,5,Productos Agrícolas En Conserva,603.062,727.269
2001,5,Sombreros De Paja Toquilla Y Mocora,121.72200000000001,5.185
2001,5,Tabaco En Rama,232.805,24.055
2001,5,Vehículos Y Sus Partes,102.4,0.744
2001,6,Abacá,72.917,106.161
2001,6,Animales Vivos No Para Alimentación,16.439,10.895
2001,6,Aparatos Eléctricos,174.24699999999999,3.182
2001,6,Artesanía Diversa,11.598,6.168
2001,6,Artículos De Cestería,0.072,0.006
2001,6,Artículos De Madera Y Corcho,139.749,27.348
2001,6,Bebidas,102.333,221.714
