Año,Mes,Export FOB (miles),Toneladas
2001,1,29542.582,19659.913
2001,2,36777.77,16403.143
2001,3,26186.951,15883.517
2001,4,27619.092,16124.776
2001,5,34249.75,20626.454
2001,6,29429.459000000003,16792.777000000002
2001,7,28271.041,17228.499
2001,8,35754.575,28807.313
2001,9,32018.927,17710.331000000002
2001,10,32823.323,18897.2
2001,11,34736.059,26348.122
2001,12,35866.896,25013.668
2002,1,38277.379,25526.718
2002,2,49580.851,20166.932
2002,3,44190.268,23941.734
2002,4,39899.002,21532.413
2002,5,46232.968,23040.087
2002,6,36060.532,25228.219
2002,7,37995.468,21978.304
2002,8,39183.475999999995,20946.175
2002,9,36137.649,22032.14
2002,10,41872.146,30140.794
2002,11,40881.571,27580.197
2002,12,44172.356999999996,32495.276
2003,1,43993.35,27241.51
2003,2,67233.741,39724.909999999996
2003,3,50921.106,31324.228
2003,4,45694.905,26437.579
2003,5,50750.854,27432.639
2003,6,49540.319,29579.353
2003,7,55329.560000000005,26374.28
2003,8,54841.671,27644.367000000002
2003,9,44716.437,27266.470999999998
2003,10,51010.891,32909.886
2003,11,48408.859,37770.346
2003,12,52585.465000000004,47001.957
2004,1,42539.731,27199.243
2004,2,60174.68,26811.678
2004,3,51082.350999999995,29024.101
2004,4,50053.187,31143.326
2004,5,50133.323,30616.284
2004,6,39572.229,25643.671
2004,7,41042.75,27739.194
2004,8,47493.881,31618.318
2004,9,40383.272,27922.751
2004,10,46550.7,27210.013
2004,11,44490.218,32325.150999999998
2004,12,50456.896,37101.508
2005,1,52001.083,40147.426
2005,2,60562.949,55894.64
2005,3,54672.606,36222.959
2005,4,52557.244,32794.392
2005,5,51911.357,27967.446
2005,6,46506.824,27000.9
2005,7,42914.636,27487.164
2005,8,46009.364,26111.057999999997
2005,9,39766.404,25028.903000000002
2005,10,47479.686,25943.757999999998
2005,11,51374.564,33862.172
2005,12,51581.570999999996,32063.312
2006,1,58174.908,40526.553
2006,2,59693.474,24286.671000000002
