Año,Mes,Producto,Export FOB (miles),Toneladas
2001,1,Atún,5156.47,1408.573
2001,1,Banano,21048.466999999997,90784.178
2001,1,Cacao,985.81,1246.659
2001,1,Café Industrializado,4.108,0.62
2001,1,Café Natural,114.731,155.25
2001,1,Camarones,11873.891,1517.4940000000001
2001,1,Elaborados De Cacao,688.158,452.03700000000003
2001,1,Pescado,1567.6770000000001,606.451
2001,1,Plátano,1287.643,5936.005
2001,2,Atún,4583.348,1313.522
2001,2,Banano,21017.615,90774.134
2001,2,Cacao,1197.586,1287.954
2001,2,Café Industrializado,27.816,14.371
2001,2,Café Natural,324.178,465.75
2001,2,Camarones,12059.251,1556.894
2001,2,Elaborados De Cacao,652.49,372.844
2001,2,Pescado,2116.906,1019.6899999999999
2001,2,Plátano,1212.699,5578.791
2001,3,Atún,4646.032999999999,1358.4230000000002
2001,3,Banano,24073.192,103382.545
2001,3,Cacao,1888.263,1865.829
2001,3,Café Industrializado,81.01299999999999,39.797
2001,3,Café Natural,399.986,500.25
2001,3,Camarones,21278.452,2975.187
2001,3,Elaborados De Cacao,1471.318,746.053
2001,3,Pescado,1322.748,705.628
2001,3,Plátano,1680.176,7864.004
2001,4,Atún,3404.3199999999997,918.443
2001,4,Banano,18599.395,79932.511
2001,4,Cacao,2806.088,2966.448
2001,4,Café Industrializado,43.657000000000004,20.282
2001,4,Café Natural,600.544,915.0
2001,4,Camarones,24187.668999999998,3450.8680000000004
2001,4,Elaborados De Cacao,1881.33,1139.499
2001,4,Otros Alimenticios,0.136,0.149
2001,4,Pescado,2092.503,938.077
2001,4,Plátano,1285.003,5978.493
2001,5,Atún,2719.499,682.4100000000001
2001,5,Banano,19256.760000000002,82863.327
2001,5,Cacao,1507.893,1715.685
2001,5,Café Industrializado,48.836999999999996,15.15
2001,5,Café Natural,768.967,950.5
2001,5,Camarones,27002.755999999998,4051.554
2001,5,Elaborados De Cacao,817.572,469.648
2001,5,Pescado,1075.552,439.19399999999996
2001,5,Plátano,924.013,4311.501
2001,6,Atún,3229.2999999999997,847.207
2001,6,Banano,16303.239,69885.44900000001
2001,6,Cacao,1364.513,1555.743
2001,6,Café Industrializado,42.997,14.79
2001,6,Café Natural,211.563,294.975
2001,6,Camarones,16069.996000000001,2470.207
2001,6,Elaborados De Cacao,895.047,534.946
2001,6,Pescado,1284.569,373.44599999999997
2001,6,Plátano,912.267,4252.685
2001,7,Atún,2973.5679999999998,1257.676
2001,7,Banano,20452.751,87899.854
2001,7,Cacao,1406.875,1630.47
2001,7,Café Industrializado,68.077,13.55
2001,7,Café Natural,786.216,1018.35
2001,7,Camarones,11040.082,1768.6580000000001
2001,7,Elaborados De Cacao,595.062,358.033
2001,7,Pescado,2075.24,1607.456
2001,7,Plátano,737.983,3473.801
2001,8,Atún,2268.085,562.538
2001,8,Banano,17791.587000000003,76402.61200000001
2001,8,Cacao,1523.913,1701.467
2001,8,Café Industrializado,2.814,0.991
2001,8,Café Natural,1240.87,1776.75
2001,8,Camarones,12883.623,1958.702
2001,8,Elaborados De Cacao,881.186,544.282
2001,8,Pescado,1333.4479999999999,416.9429999999999
2001,8,Plátano,784.414,3627.41
2001,9,Atún,1802.372,427.90900000000005
2001,9,Banano,15241.426,65392.377
2001,9,Cacao,1021.408,1160.442
2001,9,Café Industrializado,83.83800000000001,34.464
2001,9,Café Natural,1644.465,2742.75
2001,9,Camarones,9728.643,1573.718
2001,9,Elaborados De Cacao,449.83799999999997,312.478
2001,9,Pescado,1649.0849999999998,499.03200000000004
2001,9,Plátano,926.499,4280.059
2001,10,Atún,2235.956,603.2620000000001
2001,10,Banano,15028.751999999999,64240.849
2001,10,Cacao,1454.5,1468.665
2001,10,Café Industrializado,105.048,13.562000000000001
2001,10,Café Natural,867.841,1867.536
2001,10,Camarones,8696.26,1359.756
2001,10,Elaborados De Cacao,668.947,425.80199999999996
2001,10,Pescado,1936.0049999999999,502.595
2001,10,Plátano,820.628,3801.971
2001,11,Atún,2258.0860000000002,535.367
2001,11,Banano,17778.448,76401.31499999999
2001,11,Cacao,2510.112,2455.848
2001,11,Café Industrializado,141.229,27.341
2001,11,Café Natural,761.064,1774.517
2001,11,Camarones,7645.237,1325.761
2001,11,Elaborados De Cacao,1155.297,739.9309999999999
2001,11,Pescado,1525.5330000000001,420.53999999999996
2001,11,Plátano,1001.731,4447.987
2001,12,Atún,4573.607,1080.559
2001,12,Banano,18424.535,78539.701
2001,12,Cacao,1492.692,1235.573
2001,12,Café Industrializado,171.762,27.481
2001,12,Café Natural,244.055,1471.425
2001,12,Camarones,8327.688999999998,1543.082
2001,12,Elaborados De Cacao,775.274,415.76
2001,12,Pescado,1274.967,338.849
2001,12,Plátano,974.093,3913.987
2002,1,Atún,6815.506,1640.155
2002,1,Banano,17264.602,76791.10399999999
2002,1,Cacao,1260.941,1015.473
2002,1,Café Industrializado,106.608,14.0
2002,1,Café Natural,118.786,399.51
2002,1,Camarones,9850.757,1630.587
2002,1,Elaborados De Cacao,804.625,440.12
2002,1,Pescado,2288.614,724.49
2002,1,Plátano,1430.161,5724.507
2002,2,Atún,4561.135,1125.755
2002,2,Banano,19445.374,90118.15699999999
2002,2,Cacao,1620.049,1225.578
2002,2,Café Industrializado,73.16199999999999,14.704
2002,2,Café Natural,86.554,298.08
2002,2,Camarones,11153.866000000002,1668.9869999999999
2002,2,Elaborados De Cacao,516.849,276.434
2002,2,Pescado,3164.447,1038.527
2002,2,Plátano,1265.129,5130.927
2002,3,Atún,4113.491,1075.391
2002,3,Banano,25583.782,113539.134
2002,3,Cacao,4116.047,2913.87
2002,3,Café Industrializado,112.992,27.400000000000002
2002,3,Café Natural,57.055,143.865
2002,3,Camarones,19300.772,3024.466
2002,3,Elaborados De Cacao,320.315,165.712
2002,3,Pescado,3377.625,968.186
2002,3,Plátano,1644.861,6716.833
2002,4,Atún,2838.53,732.884
2002,4,Banano,19382.558,87110.843
2002,4,Cacao,6346.384,4507.08
2002,4,Café Industrializado,66.527,14.14
2002,4,Café Natural,53.224,103.5
2002,4,Camarones,16937.156000000003,2801.34
2002,4,Elaborados De Cacao,393.026,178.609
2002,4,Pescado,2823.628,822.5790000000001
2002,4,Plátano,1666.137,6807.258
2002,5,Atún,3377.3819999999996,750.266
2002,5,Banano,25580.928,113545.86300000001
2002,5,Cacao,2704.452,1815.918
2002,5,Café Industrializado,0.18,0.01
2002,5,Café Natural,37.259,103.5
2002,5,Camarones,20395.800000000003,3455.8430000000003
2002,5,Elaborados De Cacao,179.103,88.5
2002,5,Pescado,1973.4319999999998,509.18999999999994
2002,5,Plátano,1904.287,7842.921
2002,6,Atún,3230.059,728.318
2002,6,Banano,22675.932,101188.196
2002,6,Cacao,1857.77,1321.599
2002,6,Café Industrializado,104.852,13.574
2002,6,Café Natural,6.552,17.25
2002,6,Camarones,18732.091,3459.972
2002,6,Elaborados De Cacao,16.966,8.209
2002,6,Pescado,2113.233,575.721
2002,6,Plátano,1428.979,5843.438
2002,7,Atún,2974.715,667.903
2002,7,Banano,22224.545,98041.598
2002,7,Cacao,1620.615,1050.525
2002,7,Café Industrializado,170.96800000000002,27.661
2002,7,Café Natural,118.804,224.25
2002,7,Camarones,12443.234,2344.514
2002,7,Elaborados De Cacao,515.667,240.54100000000003
2002,7,Pescado,1968.7659999999998,694.856
2002,7,Plátano,1259.839,5150.637
2002,8,Atún,3427.857,764.414
2002,8,Banano,18328.834,80972.624
2002,8,Cacao,2140.593,1271.121
2002,8,Café Industrializado,64.234,13.55
2002,8,Café Natural,475.096,769.35
2002,8,Camarones,9835.75,1712.403
2002,8,Elaborados De Cacao,256.248,112.0
2002,8,Pescado,1726.433,635.313
2002,8,Plátano,1121.274,4579.669
2002,9,Atún,3552.771,784.6089999999999
2002,9,Banano,16754.144,74207.117
2002,9,Cacao,1807.412,945.507
2002,9,Café Industrializado,12.398,11.969
2002,9,Café Natural,1416.266,1855.035
2002,9,Camarones,7898.24,1390.4180000000001
2002,9,Elaborados De Cacao,729.871,270.545
2002,9,Pescado,1581.182,489.14900000000006
2002,9,Plátano,1082.013,4408.242
2002,10,Atún,3681.615,819.894
2002,10,Banano,15944.751,68974.516
2002,10,Cacao,1851.709,910.386
2002,10,Café Industrializado,60.402,25.450000000000003
2002,10,Café Natural,1262.179,1735.845
2002,10,Camarones,10667.077,1901.166
2002,10,Elaborados De Cacao,604.943,211.66
2002,10,Pescado,1442.815,447.289
2002,10,Plátano,1365.472,5434.724
2002,11,Atún,3368.378,736.356
2002,11,Banano,16516.085,70796.40000000001
2002,11,Cacao,1905.577,1105.518
2002,11,Café Industrializado,66.538,23.329
2002,11,Café Natural,1188.26,1326.525
2002,11,Camarones,10628.37,1791.261
2002,11,Elaborados De Cacao,302.82300000000004,131.14000000000001
2002,11,Pescado,1213.107,317.939
2002,11,Plátano,988.782,3894.273
2002,12,Atún,3704.609,805.688
2002,12,Banano,20386.8,87157.05600000001
2002,12,Cacao,1967.097,1100.55
2002,12,Café Industrializado,224.023,43.862
2002,12,Café Natural,351.614,384.678
2002,12,Camarones,12012.014999999998,2184.4790000000003
2002,12,Elaborados De Cacao,437.791,171.225
2002,12,Pescado,2753.1530000000002,820.4309999999999
2002,12,Plátano,1132.867,4467.525
2003,1,Atún,4570.491,1054.298
2003,1,Banano,18540.415999999997,76741.494
2003,1,Cacao,3820.613,1843.587
2003,1,Café Industrializado,6.766,5.849
2003,1,Café Natural,51.453,75.9
2003,1,Camarones,14288.151,2470.464
2003,1,Elaborados De Cacao,888.367,190.404
2003,1,Pescado,4521.305,1197.395
2003,1,Plátano,1238.014,5052.062
2003,2,Atún,4555.522,1014.249
2003,2,Banano,22105.718999999997,91594.78
2003,2,Cacao,4824.461,2211.036
2003,2,Café Industrializado,24.518,11.427
2003,2,Café Natural,102.889,138.0
2003,2,Camarones,16736.487,2788.6110000000003
2003,2,Elaborados De Cacao,2760.9770000000003,970.06
2003,2,Pescado,4795.32,1325.695
2003,2,Plátano,1717.825,8039.18
2003,3,Atún,5594.374000000001,1220.644
2003,3,Banano,22053.812,92123.90100000001
2003,3,Cacao,3579.096,1848.096
2003,3,Café Industrializado,0.219,0.234
2003,3,Café Natural,345.852,500.25
2003,3,Camarones,17779.981,2966.015
2003,3,Elaborados De Cacao,992.567,356.83
2003,3,Pescado,4663.259,1251.856
2003,3,Plátano,1411.555,5725.827
2003,4,Atún,5099.454,1092.975
2003,4,Banano,22569.122,99038.537
2003,4,Cacao,3924.247,2156.181
2003,4,Café Industrializado,19.898,28.056
2003,4,Café Natural,41.877,69.0
2003,4,Camarones,20760.902000000002,3470.029
2003,4,Elaborados De Cacao,630.973,238.415
2003,4,Pescado,3372.207,874.861
2003,4,Plátano,1412.245,5740.098
2003,5,Atún,6383.871999999999,1274.958
2003,5,Banano,22058.679,91358.532
2003,5,Cacao,2810.133,1566.024
2003,5,Café Industrializado,341.09400000000005,55.194
2003,5,Camarones,24402.377,4257.423
2003,5,Elaborados De Cacao,368.318,135.46
2003,5,Pescado,2165.233,521.559
2003,5,Plátano,1618.945,6571.089
2003,6,Atún,5671.789000000001,1117.229
2003,6,Banano,20869.612,86701.73300000001
2003,6,Cacao,2258.615,1530.903
2003,6,Café Industrializado,206.737,63.658
2003,6,Café Natural,237.695,419.589
2003,6,Camarones,19061.9,3432.4689999999996
2003,6,Elaborados De Cacao,759.418,396.6
2003,6,Pescado,1769.8899999999999,520.093
2003,6,Plátano,1268.589,5231.199
2003,7,Atún,6137.091,1241.309
2003,7,Banano,19617.378,81050.71900000001
2003,7,Cacao,2153.141,1420.779
2003,7,Café Industrializado,187.332,54.591
2003,7,Café Natural,654.588,780.19
2003,7,Camarones,16543.325,2914.58
2003,7,Elaborados De Cacao,1846.604,801.277
2003,7,Pescado,1544.796,419.496
2003,7,Plátano,1474.17,6031.046
2003,8,Atún,5250.49,1081.612
2003,8,Banano,18362.017,76447.26800000001
2003,8,Cacao,2068.993,1475.772
2003,8,Café Industrializado,337.426,46.319
2003,8,Café Natural,1236.157,1421.4
2003,8,Camarones,12115.175000000001,2064.161
2003,8,Elaborados De Cacao,1168.9080000000001,538.6
2003,8,Pescado,1717.4769999999999,503.728
2003,8,Plátano,1144.31,4633.931
2003,9,Atún,4981.658,1024.4769999999999
2003,9,Banano,17928.169,72306.213
2003,9,Cacao,2708.607,1685.877
2003,9,Café Industrializado,39.799,16.009999999999998
2003,9,Café Natural,1571.674,1680.702
2003,9,Camarones,11204.712,1874.98
2003,9,Elaborados De Cacao,1072.585,381.037
2003,9,Pescado,1660.891,423.44
2003,9,Plátano,992.582,4059.021
2003,10,Atún,3427.7200000000003,708.869
2003,10,Banano,14499.751,54979.204
2003,10,Cacao,2897.701,2011.074
2003,10,Café Industrializado,6.029999999999999,2.076
2003,10,Café Natural,827.05,986.451
2003,10,Camarones,9604.357,1725.2960000000003
2003,10,Elaborados De Cacao,1270.66,460.0
2003,10,Pescado,1188.909,360.915
2003,10,Plátano,1035.975,4237.363
2003,11,Atún,1706.085,365.80600000000004
2003,11,Banano,15212.891000000001,61712.144
2003,11,Cacao,4774.625,3291.897
2003,11,Café Industrializado,7.602,1.658
2003,11,Café Natural,469.906,570.078
2003,11,Camarones,9639.185,1786.055
2003,11,Elaborados De Cacao,1793.393,796.86
2003,11,Pescado,1747.852,410.942
2003,11,Plátano,1073.531,4399.218
2003,12,Atún,2133.38,406.229
2003,12,Banano,12055.458999999999,54525.06
2003,12,Cacao,5786.078,3847.44
2003,12,Café Industrializado,98.876,30.613
2003,12,Café Natural,398.71,436.839
2003,12,Camarones,16146.151,3094.078
2003,12,Elaborados De Cacao,1318.837,607.145
2003,12,Pescado,2248.309,568.408
2003,12,Plátano,1596.306,6519.076
2004,1,Atún,2273.1789999999996,430.728
