Año,Mes,Export FOB (miles),Toneladas
2001,1,42726.955,102107.267
2001,2,43191.889,102383.95
2001,3,56841.181,119437.716
2001,4,54900.645000000004,96259.76999999999
2001,5,54121.848999999995,95498.969
2001,6,40313.491,80229.448
2001,7,40135.854,99027.84800000001
2001,8,38709.94,86991.69499999999
2001,9,32547.574,76423.229
2001,10,31813.936999999998,74283.998
2001,11,34776.737,88128.60699999999
2001,12,36258.674,88566.417
2002,1,39940.6,88379.946
2002,2,41886.565,100897.14899999999
2002,3,58626.94,128574.857
2002,4,50507.17,103078.233
2002,5,56152.823000000004,128112.01100000001
2002,6,50166.434,113156.27699999999
2002,7,43297.153,108442.485
2002,8,37376.318999999996,90830.444
2002,9,34834.297,84362.591
2002,10,36880.962999999996,80460.93000000001
2002,11,36177.92,80122.741
2002,12,42969.969000000005,97135.494
2003,1,47925.576,88631.453
2003,2,57623.718,108093.038
2003,3,56420.715,105993.653
2003,4,57830.924999999996,112708.152
2003,5,60148.651,105740.239
2003,6,52104.245,99413.47300000001
2003,7,50158.425,94713.98700000001
2003,8,43400.953,88212.79100000001
2003,9,42160.677,83451.757
2003,10,34758.153,65471.248
2003,11,36425.07,73334.658
2003,12,41782.106,70034.88799999999
2004,1,52907.456,115804.973
2004,2,52510.119,96068.884
2004,3,47570.19,80508.627
2004,4,58208.62899999999,109606.965
2004,5,41120.251,83944.667
2004,6,45336.722,102181.69499999999
2004,7,54786.972,113179.764
2004,8,39013.454,83260.43599999999
2004,9,37034.158,81911.687
2004,10,34962.288,75034.202
2004,11,36952.017,79485.577
2004,12,47195.95,86667.56
2005,1,50021.371999999996,93935.212
2005,2,57354.962999999996,108308.201
2005,3,61307.196,99694.581
2005,4,56025.263,101208.55799999999
2005,5,54869.972,97818.676
2005,6,54975.771,96268.335
2005,7,53496.086,99618.24900000001
2005,8,45398.601,87898.301
2005,9,47764.177,98931.745
2005,10,42837.94,78318.64
2005,11,53142.518,91193.07299999999
2005,12,61739.948000000004,104698.438
2006,1,70178.575,95219.019
2006,2,80717.943,109218.62299999999
2006,3,81948.04299999999,121787.255
2006,4,70898.756,110550.05600000001
2006,5,60786.847,110374.956
2006,6,59548.823000000004,123604.823
2006,7,49490.998,88942.402
2006,8,54766.666,94764.904
2006,9,54151.445,109749.58300000001
2006,10,50705.424999999996,87313.699
2006,11,59070.25,92132.67300000001
2006,12,72004.902,116972.96399999999
2007,1,62021.712,106547.402
2007,2,69982.799,105177.666
2007,3,67940.246,112134.455
2007,4,70474.924,88463.39099999999
2007,5,61111.266,108078.933
